farm_id,seed,price_id,n_min,nu,beta,state_count
FarmA,1,rho_2,30,60.0,1.0,2
FarmA,1,rho_2,30,100.0,1.0,1
FarmA,1,rho_2,50,0.0,1.0,2515
FarmA,1,rho_2,50,10.0,1.0,1150
FarmA,1,rho_2,50,30.0,1.0,835
FarmA,1,rho_2,50,60.0,1.0,537
FarmA,1,rho_2,50,100.0,1.0,462
FarmA,1,rho_20,10,0.0,1.0,288
FarmA,1,rho_20,10,10.0,1.0,94
FarmA,1,rho_20,10,30.0,1.0,94
FarmA,1,rho_20,10,60.0,1.0,35
FarmA,1,rho_20,10,100.0,1.0,12
FarmA,1,rho_20,20,0.0,1.0,2
FarmA,1,rho_20,20,30.0,1.0,1
FarmA,1,rho_20,30,0.0,1.0,1
FarmA,1,rho_20,30,30.0,1.0,1
FarmA,1,rho_20,50,0.0,1.0,2276
FarmA,1,rho_20,50,10.0,1.0,1226
FarmA,1,rho_20,50,30.0,1.0,1260
FarmA,1,rho_20,50,60.0,1.0,732
FarmA,1,rho_20,50,100.0,1.0,578
FarmA,1,rho_reference,10,0.0,1.0,574
FarmA,1,rho_reference,10,10.0,1.0,112
FarmA,1,rho_reference,10,30.0,1.0,80
FarmA,1,rho_reference,10,60.0,1.0,45
FarmA,1,rho_reference,10,100.0,1.0,28
FarmA,1,rho_reference,20,0.0,1.0,8
FarmA,1,rho_reference,20,10.0,1.0,2
FarmA,1,rho_reference,20,100.0,1.0,1
FarmA,1,rho_reference,30,0.0,1.0,2
FarmA,1,rho_reference,30,10.0,1.0,1
FarmA,1,rho_reference,30,30.0,1.0,1
FarmA,1,rho_reference,50,0.0,1.0,1513
FarmA,1,rho_reference,50,10.0,1.0,1613
FarmA,1,rho_reference,50,30.0,1.0,1390
FarmA,1,rho_reference,50,60.0,1.0,706
FarmA,1,rho_reference,50,100.0,1.0,524
FarmA,2,rho_1,10,0.0,1.0,613
FarmA,2,rho_1,10,10.0,1.0,119
FarmA,2,rho_1,10,30.0,1.0,84
FarmA,2,rho_1,10,60.0,1.0,31
FarmA,2,rho_1,10,100.0,1.0,20
FarmA,2,rho_1,20,0.0,1.0,9
FarmA,2,rho_1,20,30.0,1.0,1
FarmA,2,rho_1,20,100.0,1.0,1
FarmA,2,rho_1,30,0.0,1.0,6
FarmA,2,rho_1,30,10.0,1.0,1
FarmA,2,rho_1,30,30.0,1.0,1
FarmA,2,rho_1,30,100.0,1.0,1
FarmA,2,rho_1,50,0.0,1.0,2778
FarmA,2,rho_1,50,10.0,1.0,957
FarmA,2,rho_1,50,30.0,1.0,1067
FarmA,2,rho_1,50,60.0,1.0,522
FarmA,2,rho_1,50,100.0,1.0,389
FarmA,2,rho_10,10,0.0,1.0,400
FarmA,2,rho_10,10,10.0,1.0,79
FarmA,2,rho_10,10,30.0,1.0,89
FarmA,2,rho_10,10,60.0,1.0,36
FarmA,2,rho_10,10,100.0,1.0,14
FarmA,2,rho_10,20,0.0,1.0,8
FarmA,2,rho_10,20,10.0,1.0,1
FarmA,2,rho_10,30,10.0,1.0,1
FarmA,2,rho_10,50,0.0,1.0,2019
FarmA,2,rho_10,50,10.0,1.0,1519
FarmA,2,rho_10,50,30.0,1.0,1125
FarmA,2,rho_10,50,60.0,1.0,615
FarmA,2,rho_10,50,100.0,1.0,694
FarmA,2,rho_2,10,0.0,1.0,534
FarmA,2,rho_2,10,10.0,1.0,82
FarmA,2,rho_2,10,30.0,1.0,53
FarmA,2,rho_2,10,60.0,1.0,23
FarmA,2,rho_2,10,100.0,1.0,11
FarmA,2,rho_2,20,0.0,1.0,4
FarmA,2,rho_2,20,30.0,1.0,1
FarmA,2,rho_2,30,0.0,1.0,3
FarmA,2,rho_2,30,60.0,1.0,1
FarmA,2,rho_2,30,100.0,1.0,1
FarmA,2,rho_2,50,0.0,1.0,2802
FarmA,2,rho_2,50,10.0,1.0,1103
FarmA,2,rho_2,50,30.0,1.0,915
FarmA,2,rho_2,50,60.0,1.0,571
FarmA,2,rho_2,50,100.0,1.0,496
FarmA,2,rho_20,10,0.0,1.0,265
FarmA,2,rho_20,10,10.0,1.0,91
FarmA,2,rho_20,10,30.0,1.0,74
FarmA,2,rho_20,10,60.0,1.0,36
FarmA,2,rho_20,10,100.0,1.0,23
FarmA,2,rho_20,20,0.0,1.0,9
FarmA,2,rho_20,20,30.0,1.0,1
FarmA,2,rho_20,30,0.0,1.0,2
FarmA,2,rho_20,50,0.0,1.0,2251
FarmA,2,rho_20,50,10.0,1.0,1271
FarmA,2,rho_20,50,30.0,1.0,1233
FarmA,2,rho_20,50,60.0,1.0,745
FarmA,2,rho_20,50,100.0,1.0,599
FarmA,2,rho_reference,10,0.0,1.0,414
FarmA,2,rho_reference,10,10.0,1.0,83
FarmA,2,rho_reference,10,30.0,1.0,65
FarmA,2,rho_reference,10,60.0,1.0,32
FarmA,2,rho_reference,10,100.0,1.0,24
FarmA,2,rho_reference,20,0.0,1.0,8
FarmA,2,rho_reference,20,100.0,1.0,1
FarmA,2,rho_reference,30,0.0,1.0,3
FarmA,2,rho_reference,50,0.0,1.0,1682
FarmA,2,rho_reference,50,10.0,1.0,1617
FarmA,2,rho_reference,50,30.0,1.0,1384
FarmA,2,rho_reference,50,60.0,1.0,733
FarmA,2,rho_reference,50,100.0,1.0,554
FarmB,0,rho_1,10,0.0,1.0,1486
FarmB,0,rho_1,10,10.0,1.0,628
FarmB,0,rho_1,10,30.0,1.0,539
FarmB,0,rho_1,10,60.0,1.0,240
FarmB,0,rho_1,10,100.0,1.0,151
FarmB,0,rho_1,20,0.0,1.0,12
FarmB,0,rho_1,20,10.0,1.0,10
FarmB,0,rho_1,20,30.0,1.0,3
FarmB,0,rho_1,20,60.0,1.0,3
FarmB,0,rho_1,20,100.0,1.0,5
FarmB,0,rho_1,30,0.0,1.0,91
FarmB,0,rho_1,30,10.0,1.0,12
FarmB,0,rho_1,30,30.0,1.0,7
FarmB,0,rho_1,30,60.0,1.0,2
FarmB,0,rho_1,30,100.0,1.0,2
FarmB,0,rho_1,50,0.0,1.0,885
FarmB,0,rho_1,50,10.0,1.0,926
FarmB,0,rho_1,50,30.0,1.0,925
FarmB,0,rho_1,50,60.0,1.0,487
FarmB,0,rho_1,50,100.0,1.0,186
FarmB,0,rho_10,10,0.0,1.0,554
FarmB,0,rho_10,10,10.0,1.0,150
FarmB,0,rho_10,10,30.0,1.0,271
FarmB,0,rho_10,10,60.0,1.0,89
FarmB,0,rho_10,10,100.0,1.0,47
FarmB,0,rho_10,20,0.0,1.0,1
FarmB,0,rho_10,20,10.0,1.0,1
FarmB,0,rho_10,20,30.0,1.0,2
FarmB,0,rho_10,20,60.0,1.0,1
FarmB,0,rho_10,30,0.0,1.0,30
FarmB,0,rho_10,30,10.0,1.0,2
FarmB,0,rho_10,30,30.0,1.0,2
FarmB,0,rho_10,50,0.0,1.0,1571
FarmB,0,rho_10,50,10.0,1.0,1064
FarmB,0,rho_10,50,30.0,1.0,1287
FarmB,0,rho_10,50,60.0,1.0,903
FarmB,0,rho_10,50,100.0,1.0,625
FarmB,0,rho_2,10,0.0,1.0,868
FarmB,0,rho_2,10,10.0,1.0,423
FarmB,0,rho_2,10,30.0,1.0,324
FarmB,0,rho_2,10,60.0,1.0,147
FarmB,0,rho_2,10,100.0,1.0,109
FarmB,0,rho_2,20,0.0,1.0,10
FarmB,0,rho_2,20,10.0,1.0,6
FarmB,0,rho_2,20,30.0,1.0,5
FarmB,0,rho_2,20,100.0,1.0,6
FarmB,0,rho_2,30,0.0,1.0,63
FarmB,0,rho_2,30,10.0,1.0,9
FarmB,0,rho_2,30,60.0,1.0,3
FarmB,0,rho_2,30,100.0,1.0,2
FarmB,0,rho_2,50,0.0,1.0,1497
FarmB,0,rho_2,50,10.0,1.0,1029
FarmB,0,rho_2,50,30.0,1.0,1166
FarmB,0,rho_2,50,60.0,1.0,598
FarmB,0,rho_2,50,100.0,1.0,335
FarmB,0,rho_20,10,0.0,1.0,406
FarmB,0,rho_20,10,10.0,1.0,161
FarmB,0,rho_20,10,30.0,1.0,167
FarmB,0,rho_20,10,60.0,1.0,101
FarmB,0,rho_20,10,100.0,1.0,56
FarmB,0,rho_20,20,10.0,1.0,2
FarmB,0,rho_20,20,30.0,1.0,1
FarmB,0,rho_20,30,0.0,1.0,30
FarmB,0,rho_20,30,10.0,1.0,3
FarmB,0,rho_20,30,30.0,1.0,2
FarmB,0,rho_20,30,60.0,1.0,1
FarmB,0,rho_20,50,0.0,1.0,1858
FarmB,0,rho_20,50,10.0,1.0,1055
FarmB,0,rho_20,50,30.0,1.0,1241
FarmB,0,rho_20,50,60.0,1.0,868
FarmB,0,rho_20,50,100.0,1.0,648
FarmB,0,rho_reference,10,0.0,1.0,413
FarmB,0,rho_reference,10,10.0,1.0,317
FarmB,0,rho_reference,10,30.0,1.0,203
FarmB,0,rho_reference,10,60.0,1.0,219
FarmB,0,rho_reference,10,100.0,1.0,63
FarmB,0,rho_reference,20,0.0,1.0,10
FarmB,0,rho_reference,20,10.0,1.0,3
FarmB,0,rho_reference,20,30.0,1.0,2
FarmB,0,rho_reference,20,60.0,1.0,2
FarmB,0,rho_reference,30,0.0,1.0,31
FarmB,0,rho_reference,30,10.0,1.0,1
FarmB,0,rho_reference,30,30.0,1.0,2
FarmB,0,rho_reference,30,60.0,1.0,3
FarmB,0,rho_reference,50,0.0,1.0,1556
FarmB,0,rho_reference,50,10.0,1.0,1211
FarmB,0,rho_reference,50,30.0,1.0,1145
FarmB,0,rho_reference,50,60.0,1.0,827
FarmB,0,rho_reference,50,100.0,1.0,592
FarmB,1,rho_1,10,0.0,1.0,1484
FarmB,1,rho_1,10,10.0,1.0,669
FarmB,1,rho_1,10,30.0,1.0,592
FarmB,1,rho_1,10,60.0,1.0,297
FarmB,1,rho_1,10,100.0,1.0,177
FarmB,1,rho_1,20,0.0,1.0,7
FarmB,1,rho_1,20,10.0,1.0,18
FarmB,1,rho_1,20,30.0,1.0,1
FarmB,1,rho_1,20,60.0,1.0,2
FarmB,1,rho_1,20,100.0,1.0,5
FarmB,1,rho_1,30,0.0,1.0,89
FarmB,1,rho_1,30,10.0,1.0,8
FarmB,1,rho_1,30,30.0,1.0,2
FarmB,1,rho_1,30,60.0,1.0,2
FarmB,1,rho_1,30,100.0,1.0,3
FarmB,1,rho_1,50,0.0,1.0,979
FarmB,1,rho_1,50,10.0,1.0,807
FarmB,1,rho_1,50,30.0,1.0,815
FarmB,1,rho_1,50,60.0,1.0,451
FarmB,1,rho_1,50,100.0,1.0,192
FarmB,1,rho_10,10,0.0,1.0,621
FarmB,1,rho_10,10,10.0,1.0,142
FarmB,1,rho_10,10,30.0,1.0,160
FarmB,1,rho_10,10,60.0,1.0,110
FarmB,1,rho_10,10,100.0,1.0,76
FarmB,1,rho_10,20,0.0,1.0,1
FarmB,1,rho_10,20,10.0,1.0,1
FarmB,1,rho_10,30,0.0,1.0,16
FarmB,1,rho_10,30,30.0,1.0,2
FarmB,1,rho_10,30,60.0,1.0,10
FarmB,1,rho_10,30,100.0,1.0,1
FarmB,1,rho_10,50,0.0,1.0,1610
FarmB,1,rho_10,50,10.0,1.0,1052
FarmB,1,rho_10,50,30.0,1.0,1267
FarmB,1,rho_10,50,60.0,1.0,896
FarmB,1,rho_10,50,100.0,1.0,635
FarmB,1,rho_2,10,0.0,1.0,863
FarmB,1,rho_2,10,10.0,1.0,436
FarmB,1,rho_2,10,30.0,1.0,342
FarmB,1,rho_2,10,60.0,1.0,197
FarmB,1,rho_2,10,100.0,1.0,132
FarmB,1,rho_2,20,0.0,1.0,10
FarmB,1,rho_2,20,10.0,1.0,12
FarmB,1,rho_2,20,30.0,1.0,6
FarmB,1,rho_2,20,60.0,1.0,1
FarmB,1,rho_2,20,100.0,1.0,6
FarmB,1,rho_2,30,0.0,1.0,62
FarmB,1,rho_2,30,10.0,1.0,5
FarmB,1,rho_2,30,30.0,1.0,1
FarmB,1,rho_2,30,60.0,1.0,1
FarmB,1,rho_2,30,100.0,1.0,2
FarmB,1,rho_2,50,0.0,1.0,1650
FarmB,1,rho_2,50,10.0,1.0,855
FarmB,1,rho_2,50,30.0,1.0,1109
FarmB,1,rho_2,50,60.0,1.0,560
FarmB,1,rho_2,50,100.0,1.0,350
FarmB,1,rho_20,10,0.0,1.0,601
FarmB,1,rho_20,10,10.0,1.0,175
FarmB,1,rho_20,10,30.0,1.0,189
FarmB,1,rho_20,10,60.0,1.0,92
FarmB,1,rho_20,10,100.0,1.0,80
FarmB,1,rho_20,20,0.0,1.0,5
FarmB,1,rho_20,20,10.0,1.0,1
FarmB,1,rho_20,20,30.0,1.0,3
FarmB,1,rho_20,30,0.0,1.0,15
FarmB,1,rho_20,30,10.0,1.0,3
FarmB,1,rho_20,30,30.0,1.0,5
FarmB,1,rho_20,30,60.0,1.0,1
FarmB,1,rho_20,30,100.0,1.0,11
FarmB,1,rho_20,50,0.0,1.0,1732
FarmB,1,rho_20,50,10.0,1.0,789
FarmB,1,rho_20,50,30.0,1.0,1375
FarmB,1,rho_20,50,60.0,1.0,869
FarmB,1,rho_20,50,100.0,1.0,654
FarmB,1,rho_reference,10,0.0,1.0,494
FarmB,1,rho_reference,10,10.0,1.0,306
FarmB,1,rho_reference,10,30.0,1.0,428
FarmB,1,rho_reference,10,60.0,1.0,120
FarmB,1,rho_reference,10,100.0,1.0,68
FarmB,1,rho_reference,20,0.0,1.0,5
FarmB,1,rho_reference,20,10.0,1.0,1
FarmB,1,rho_reference,20,30.0,1.0,1
FarmB,1,rho_reference,20,60.0,1.0,3
FarmB,1,rho_reference,30,0.0,1.0,29
FarmB,1,rho_reference,30,10.0,1.0,3
FarmB,1,rho_reference,30,30.0,1.0,1
FarmB,1,rho_reference,30,60.0,1.0,2
FarmB,1,rho_reference,50,0.0,1.0,1483
FarmB,1,rho_reference,50,10.0,1.0,1043
FarmB,1,rho_reference,50,30.0,1.0,1145
FarmB,1,rho_reference,50,60.0,1.0,823
FarmB,1,rho_reference,50,100.0,1.0,645
FarmB,2,rho_1,10,0.0,1.0,1253
FarmB,2,rho_1,10,10.0,1.0,582
FarmB,2,rho_1,10,30.0,1.0,556
FarmB,2,rho_1,10,60.0,1.0,304
FarmB,2,rho_1,10,100.0,1.0,171
FarmB,2,rho_1,20,0.0,1.0,8
FarmB,2,rho_1,20,10.0,1.0,24
FarmB,2,rho_1,20,30.0,1.0,4
FarmB,2,rho_1,20,60.0,1.0,1
FarmB,2,rho_1,20,100.0,1.0,6
FarmB,2,rho_1,30,0.0,1.0,107
FarmB,2,rho_1,30,10.0,1.0,9
FarmB,2,rho_1,30,30.0,1.0,2
FarmB,2,rho_1,30,60.0,1.0,2
FarmB,2,rho_1,30,100.0,1.0,3
FarmB,2,rho_1,50,0.0,1.0,1120
FarmB,2,rho_1,50,10.0,1.0,837
FarmB,2,rho_1,50,30.0,1.0,933
FarmB,2,rho_1,50,60.0,1.0,472
FarmB,2,rho_1,50,100.0,1.0,206
FarmB,2,rho_10,10,0.0,1.0,549
FarmB,2,rho_10,10,10.0,1.0,178
FarmB,2,rho_10,10,30.0,1.0,180
FarmB,2,rho_10,10,60.0,1.0,104
FarmB,2,rho_10,10,100.0,1.0,64
FarmB,2,rho_10,20,0.0,1.0,1
FarmB,2,rho_10,20,10.0,1.0,2
FarmB,2,rho_10,20,30.0,1.0,1
FarmB,2,rho_10,20,60.0,1.0,1
FarmB,2,rho_10,20,100.0,1.0,1
FarmB,2,rho_10,30,0.0,1.0,18
FarmB,2,rho_10,30,10.0,1.0,1
FarmB,2,rho_10,30,30.0,1.0,1
FarmB,2,rho_10,30,60.0,1.0,9
FarmB,2,rho_10,50,0.0,1.0,1292
FarmB,2,rho_10,50,10.0,1.0,1286
FarmB,2,rho_10,50,30.0,1.0,1363
FarmB,2,rho_10,50,60.0,1.0,870
FarmB,2,rho_10,50,100.0,1.0,679
FarmB,2,rho_2,10,0.0,1.0,590
FarmB,2,rho_2,10,10.0,1.0,378
FarmB,2,rho_2,10,30.0,1.0,322
FarmB,2,rho_2,10,60.0,1.0,195
FarmB,2,rho_2,10,100.0,1.0,137
FarmB,2,rho_2,20,0.0,1.0,11
FarmB,2,rho_2,20,10.0,1.0,8
FarmB,2,rho_2,20,30.0,1.0,3
FarmB,2,rho_2,20,60.0,1.0,2
FarmB,2,rho_2,20,100.0,1.0,6
FarmB,2,rho_2,30,0.0,1.0,79
FarmB,2,rho_2,30,10.0,1.0,7
FarmB,2,rho_2,30,30.0,1.0,1
FarmB,2,rho_2,30,60.0,1.0,3
FarmB,2,rho_2,30,100.0,1.0,1
FarmB,2,rho_2,50,0.0,1.0,1790
FarmB,2,rho_2,50,10.0,1.0,962
FarmB,2,rho_2,50,30.0,1.0,1127
FarmB,2,rho_2,50,60.0,1.0,592
FarmB,2,rho_2,50,100.0,1.0,386
FarmB,2,rho_20,10,0.0,1.0,413
FarmB,2,rho_20,10,10.0,1.0,169
FarmB,2,rho_20,10,30.0,1.0,210
FarmB,2,rho_20,10,60.0,1.0,111
FarmB,2,rho_20,10,100.0,1.0,58
FarmB,2,rho_20,20,10.0,1.0,3
FarmB,2,rho_20,20,30.0,1.0,1
FarmB,2,rho_20,30,0.0,1.0,17
FarmB,2,rho_20,30,10.0,1.0,2
FarmB,2,rho_20,30,30.0,1.0,2
FarmB,2,rho_20,30,60.0,1.0,11
FarmB,2,rho_20,50,0.0,1.0,1699
FarmB,2,rho_20,50,10.0,1.0,1141
FarmB,2,rho_20,50,30.0,1.0,1246
FarmB,2,rho_20,50,60.0,1.0,841
FarmB,2,rho_20,50,100.0,1.0,676
FarmB,2,rho_reference,10,0.0,1.0,398
FarmB,2,rho_reference,10,10.0,1.0,328
FarmB,2,rho_reference,10,30.0,1.0,200
FarmB,2,rho_reference,10,60.0,1.0,117
FarmB,2,rho_reference,10,100.0,1.0,75
FarmB,2,rho_reference,20,0.0,1.0,4
FarmB,2,rho_reference,20,10.0,1.0,7
FarmB,2,rho_reference,20,30.0,1.0,1
FarmB,2,rho_reference,20,60.0,1.0,1
FarmB,2,rho_reference,20,100.0,1.0,1
FarmB,2,rho_reference,30,0.0,1.0,29
FarmB,2,rho_reference,30,10.0,1.0,1
FarmB,2,rho_reference,30,30.0,1.0,1
FarmB,2,rho_reference,30,60.0,1.0,1
FarmB,2,rho_reference,30,100.0,1.0,1
FarmB,2,rho_reference,50,0.0,1.0,1213
FarmB,2,rho_reference,50,10.0,1.0,1418
FarmB,2,rho_reference,50,30.0,1.0,1214
FarmB,2,rho_reference,50,60.0,1.0,931
FarmB,2,rho_reference,50,100.0,1.0,659
